Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8
1751460582.1425219,55,170,163,101,327,79,36,32
1751460582.164463,54,145,132,96,330,79,37,32
1751460582.2023616,56,79,94,86,347,73,35,28
1751460582.2253003,57,76,81,91,348,53,26,26
1751460582.2472417,58,60,66,97,361,48,24,24
1751460582.2851403,53,59,56,89,318,47,25,21
1751460582.3309276,43,70,60,84,298,53,27,23
1751460582.3538663,41,73,60,93,285,57,27,23
1751460582.3827891,38,95,83,93,273,64,31,24
1751460582.4047298,54,84,89,98,320,67,31,25
1751460582.4426286,53,99,99,78,312,58,29,25
1751460582.474544,53,101,88,75,315,51,27,23
1751460582.5094507,45,85,88,83,315,46,23,23
1751460582.5473492,59,79,84,78,356,51,24,22
1751460582.5852485,61,86,84,98,412,69,27,24
1751460582.6071901,58,87,88,92,415,71,27,24
1751460582.645088,46,86,96,114,446,69,28,24
1751460582.6760051,46,81,98,98,378,62,27,22
1751460582.7129068,42,78,99,99,422,50,23,22
1751460582.742826,51,77,103,72,368,48,24,22
1751460582.764768,64,103,127,84,379,50,26,23
1751460582.7877064,64,112,134,86,363,50,27,22
1751460582.8325863,61,104,123,86,309,50,27,24
1751460582.8625064,47,79,87,87,384,45,24,23
1751460582.884449,48,89,79,92,402,48,26,24
1751460582.9073865,54,101,98,87,396,48,26,23
1751460582.953263,48,102,119,110,525,48,26,21
1751460582.9821858,44,78,113,101,546,50,27,20
1751460583.005124,49,77,94,97,526,50,27,21
1751460583.0280633,52,81,91,95,498,52,27,22
1751460583.0659614,59,132,119,96,418,47,26,24
1751460583.0874116,62,132,126,105,340,54,28,25
1751460583.1332889,57,149,138,126,365,59,30,26
1751460583.1622112,51,125,128,109,291,57,33,27
1751460583.186148,48,125,125,102,276,50,30,28
1751460583.2240474,44,130,136,103,296,60,30,30
1751460583.2449908,57,76,90,85,331,63,30,28
1751460583.2679288,61,77,89,106,464,65,30,29
1751460583.3068254,61,67,65,107,521,53,31,25
1751460583.3432355,47,55,59,104,546,54,31,28
1751460583.389113,37,41,47,96,511,92,34,26
1751460583.424716,46,57,55,99,488,95,34,25
1751460583.4476552,45,60,56,110,537,74,31,24
1751460583.4695961,45,62,60,96,511,66,31,23
1751460583.5074952,49,55,53,89,513,67,30,19
1751460583.538412,46,41,41,118,606,68,30,22
1751460583.5673347,48,41,49,110,553,58,29,24
1751460583.5898407,42,44,53,111,551,55,30,25
1751460583.6277723,53,47,51,77,412,39,23,22
1751460583.6497076,56,47,55,82,406,37,22,22
1751460583.6876101,54,37,46,80,401,33,23,21
1751460583.7094967,49,38,52,79,406,37,22,20
1751460583.740388,52,39,53,80,359,37,24,21
1751460583.769336,55,41,45,76,380,39,26,22
1751460583.8231657,52,41,44,81,380,43,28,24
1751460583.84512,48,40,49,63,292,42,23,24
1751460583.8670478,53,45,50,84,346,45,22,23
1751460583.8909853,55,45,64,88,387,44,22,25
1751460583.9269166,56,44,57,96,472,50,22,25
1751460583.9578056,49,46,60,108,499,51,22,27
1751460583.987758,34,39,53,119,412,54,25,26
1751460584.0096934,31,44,69,119,339,53,28,24
1751460584.055545,29,40,73,138,448,53,29,24
1751460584.0844662,24,37,70,117,416,57,29,24
1751460584.1074371,23,33,62,114,415,54,26,23
1751460584.138357,40,38,59,84,284,53,25,25
1751460584.1673028,48,48,58,87,338,47,24,24
1751460584.1902158,49,49,59,95,395,65,27,24
1751460584.2271435,37,46,54,115,430,73,27,22
1751460584.2580338,31,40,56,109,390,70,27,21
1751460584.2877145,29,37,57,134,375,61,25,21
1751460584.309651,27,33,53,146,425,60,25,21
1751460584.3475537,45,37,59,145,423,58,24,22
1751460584.369496,47,38,60,146,485,55,24,22
1751460584.4073944,47,37,49,103,420,40,26,19
1751460584.4303322,49,38,54,101,424,42,28,21
1751460584.4523015,38,39,55,89,426,40,30,21
1751460584.4901733,44,34,62,95,443,45,27,23
1751460584.512113,50,35,60,90,410,46,27,25
1751460584.55799,52,38,52,97,414,51,23,25
1751460584.5869136,46,42,49,100,383,48,25,23
1751460584.6098528,37,41,53,123,446,47,22,21
1751460584.6407707,29,36,54,115,446,45,21,24
1751460584.6856492,29,36,48,140,525,61,27,28
1751460584.7068105,89,37,46,109,422,64,29,28
1751460584.737727,94,40,53,128,441,66,30,26
1751460584.7846017,96,41,52,112,373,53,27,24
1751460584.8304799,90,40,57,104,394,44,25,24
1751460584.8584044,86,41,57,87,378,44,25,24
1751460584.8973002,62,40,65,91,321,45,26,23
1751460584.9481645,72,47,63,116,358,43,26,23
1751460584.970106,77,46,61,123,376,39,24,23
1751460584.9920466,93,53,63,127,400,39,22,26
1751460585.029946,106,58,60,99,345,34,19,25
1751460585.0608902,105,61,59,87,338,30,21,25
1751460585.0978339,90,64,55,91,369,33,23,21
1751460585.128751,82,83,66,90,392,33,25,22
1751460585.15072,94,91,69,107,453,36,25,21
1751460585.1806443,100,86,70,100,437,35,25,24
1751460585.2105596,88,207,192,137,406,40,29,27
